sampleid,sitecode,role,delta15n,delta2h
AC-S18-ALGAE-1,AC,algae,14.13002354,-155.67
AC-S18-DETRITUS-1,AC,det,5.468514142,-101.02
AC-S18-212-1,AC,cc,15.105,-109.66
AC-S18-212-2,AC,cc,15.483,-109.52
AC-S18-212-3,AC,cc,15.504,-111.37
AC-S18-212-4,AC,cc,11.338,-103.94
AC-S18-212-5,AC,cc,10.848,-112.74
AC-S18-212-MT-1,AC,cc,16.302,-110.49
AC-S18-ALGAE-2,AC,algae,13.958,-155.87
AC-S18-ALGAE-3,AC,algae,14.106,-155.56
AC-S18-DETRITUS-2,AC,det,6.996,-102.4
AC-S18-DETRITUS-3,AC,det,6.969,-142.27
AT-S18-212-1,AT,cc,13.31481866,-110.61
AT-S18-212-2,AT,cc,13.04717838,-126
AT-S18-212-32,AT,cc,13.89693628,
AT-S18-212-33,AT,cc,10.52065411,
AT-S18-212-34,AT,cc,12.13552867,-128.64
AT-S18-212-35,AT,cc,12.44364954,
AT-S18-212-36,AT,cc,12.3603465,-141.04
AT-S18-212-38,AT,cc,11.46709706,-116.75
AT-S18-212-39,AT,cc,9.682605473,-141.79
AT-S18-DT-1,AT,det,6.661615779,-114.28
AT-S18-DT-2,AT,det,7.246744347,-116.53
AT-S18-DT-3,AT,det,5.810519679,-109.37
AT-S18-ALG-1,AT,algae,10.24063546,-159.86
AT-S18-ALG-2,AT,algae,10.53771618,-159.52
AT-S18-ALG-3,AT,algae,10.19246021,-160.37
BW-S18-212-1,BW,cc,7.907,-91.04
BW-S18-212-MT-1,BW,cc,7.755,-92.81
BW-S18-ALG-1,BW,algae,8.353,-187.63
BW-S18-ALG-2,BW,algae,8.638,-182.68
BW-S18-ALG-3,BW,algae,8.318,-169.18
BW-S18-DET-1,BW,det,2.425,-80.02
BW-S18-DET-2,BW,det,2.526,-103.58
BW-S18-DET-3,BW,det,2.415333333,-105.18
DE-S18-212-1,DE,cc,9.464,-99.11
DE-S18-212-11,DE,cc,8.868,-105.25
DE-S18-212-12,DE,cc,8.116,-101.48
DE-S18-212-15,DE,cc,8.472,-108.09
DE-S18-212-2,DE,cc,7.917,-104.76
DE-S18-212-3,DE,cc,10.051,-120.08
DE-S18-212-4,DE,cc,9.023,-111.97
DE-S18-212-5,DE,cc,7.909,-99.59
DE-S18-212-6,DE,cc,8.591,-105.46
DE-S18-212-7,DE,cc,8.138,-97.93
DE-S18-ALG-1,DE,algae,5.357,-142.48
DE-S18-ALG-2,DE,algae,5.258,-132.38
DE-S18-DET-1,DE,det,1.9,-107.86
DE-S18-DET-2,DE,det,1.93,-108.49
DE-S18-DET-3,DE,det,1.796,-108.08
EP1-S18-212-13,P1,cc,12.918,-96.42
EP1-S18-212-14,P1,cc,11.906,-90.69
EP1-S18-212-19,P1,cc,12.675,-96.73
EP1-S18-212-20,P1,cc,13.448,-96.97
EP1-S18-212-22,P1,cc,11.568,-95.65
EP1-S18-212-25,P1,cc,11.907,-103.05
EP1-S18-212-27,P1,cc,11.393,-91.77
EP1-S18-212-29,P1,cc,12.748,-104.89
EP1-S18-212-31,P1,cc,11.724,-98.12
EP1-S18-212-32,P1,cc,13.178,-106.34
EP1-S18-ALG-1,P1,algae,12.02,-107
EP1-S18-ALG-2,P1,algae,12.031,-107.4
EP1-S18-ALG-3,P1,algae,11.946,-106.2
