"sitecode","sampleid","totalmm"
"AC","AC-S18-212-1",49
"AC","AC-S18-212-2",65
"AC","AC-S18-212-3",54
"AC","AC-S18-212-4",48
"AC","AC-S18-212-5",55
"AC","AC-S18-212-MT-1",NA
"BW","BW-S18-212-1",142
"BW","BW-S18-212-MT-1",128
"SC","SC-S18-212-1",68
"SC","SC-S18-212-2",65
"SC","SC-S18-212-3",85
"SC","SC-S18-212-4",65
"SC","SC-S18-212-5",57
"SC","SC-S18-212-6",61
"SC","SC-S18-212-7",68
"SC","SC-S18-212-8",61
"SC","SC-S18-212-9",68
"SC","SC-S18-212-10",57
"SC","SC-S18-212-11",90
"SC","SC-S18-212-12",51
"SC","SC-S18-212-13",41
"SC","SC-S18-212-14",65
"SC","SC-S18-212-15",115
"SC","SC-S18-212-16",57
"SC","SC-S18-212-17",97
"SC","SC-S18-212-18",33
"SC","SC-S18-212-MT-1",57
"SC","SC-S18-212-MT-2",57
"SC","SC-S18-212-MT-3",63
"SC","SC-S18-212-MT-4",64
"JC","JC-S18-212-1",94
"JC","JC-S18-212-2",108
"JC","JC-S18-212-3",156
"JC","JC-S18-212-4",154
"JC","JC-S18-212-5",130
"JC","JC-S18-212-6",119
"JC","JC-S18-212-7",121
"DE","DE-S18-212-1",65
"DE","DE-S18-212-2",67
"DE","DE-S18-212-3",79
"DE","DE-S18-212-4",88
"DE","DE-S18-212-5",97
"DE","DE-S18-212-6",142
"DE","DE-S18-212-7",146
"DE","DE-S18-212-8",43
"DE","DE-S18-212-9",43
"DE","DE-S18-212-10",39
"DE","DE-S18-212-11",109
"DE","DE-S18-212-12",110
"DE","DE-S18-212-13",115
"DE","DE-S18-212-14",89
"DE","DE-S18-212-15",115
"HC","HC-S18-212-MT-1",55
"HC","HC-S18-212-MT-2",65
"HC","HC-S18-212-MT-3",58
"HC","HC-S18-212-MT-4",60
"HC","HC-S18-212-MT-5",66
"HC","HC-S18-212-1",57
"HC","HC-S18-212-2",39
"HC","HC-S18-212-3",35
"HC","HC-S18-212-4",34
"HC","HC-S18-212-5",64
"HC","HC-S18-212-6",112
"HC","HC-S18-212-7",36
"HC","HC-S18-212-8",40
"HC","HC-S18-212-9",40
"HC","HC-S18-212-10",37
"HC","HC-S18-212-11",33
"HC","HC-S18-212-12",48
"HC","HC-S18-212-13",137
"HC","HC-S18-212-14",35
"HC","HC-S18-212-15",35
"HC","HC-S18-212-16",36
"HC","HC-S18-212-17",152
"HC","HC-S18-212-18",107
"HC","HC-S18-212-19",111
"HC","HC-S18-212-20",120
"HC","HC-S18-212-22",90
"HC","HC-S18-212-27",95
"HC","HC-S18-212-21",74
"HC","HC-S18-212-23",60
"HC","HC-S18-212-24",133
"HC","HC-S18-212-25",78
"HC","HC-S18-212-26",111
"HC","HC-S18-212-28",73
"HC","HC-S18-212-29",84
"HC","HC-S18-212-30",70
